SITE_ID,STREET,DATE_PARSED,BICYCLE_DETECTIONS
9077,Albert Street,2020-11-16,643
9077,Albert Street,2020-11-17,640
9077,Albert Street,2020-11-18,799
9077,Albert Street,2020-11-19,755
9077,Albert Street,2020-11-20,841
9077,Albert Street,2020-11-21,518
9077,Albert Street,2020-11-22,266
9077,Albert Street,2020-11-23,328
9077,Albert Street,2020-11-24,810
9077,Albert Street,2020-11-25,759
9077,Albert Street,2020-11-26,800
9077,Albert Street,2020-11-27,673
9077,Albert Street,2020-11-28,450
9077,Albert Street,2020-11-29,273
9077,Albert Street,2020-11-30,701
9077,Albert Street,2020-12-01,669
9077,Albert Street,2020-12-02,757
9077,Albert Street,2020-12-03,868
9077,Albert Street,2020-12-04,791
9077,Albert Street,2020-12-05,367
9077,Albert Street,2020-12-06,327
9077,Albert Street,2020-12-07,466
9077,Albert Street,2020-12-08,735
9077,Albert Street,2020-12-09,841
9077,Albert Street,2020-12-10,746
9077,Albert Street,2020-12-11,783
9077,Albert Street,2020-12-12,520
9077,Albert Street,2020-12-13,372
9077,Albert Street,2020-12-14,635
9077,Albert Street,2020-12-15,739
9077,Albert Street,2020-12-16,842
9077,Albert Street,2020-12-17,653
9077,Albert Street,2020-12-18,578
9077,Albert Street,2020-12-19,454
9077,Albert Street,2020-12-20,357
9077,Albert Street,2020-12-21,535
9077,Albert Street,2020-12-22,307
9077,Albert Street,2020-12-23,604
9077,Albert Street,2020-12-24,377
9077,Albert Street,2020-12-25,98
9077,Albert Street,2020-12-26,302
9077,Albert Street,2020-12-27,262
9077,Albert Street,2020-12-28,325
9077,Albert Street,2020-12-29,447
9077,Albert Street,2020-12-30,412
9077,Albert Street,2020-12-31,360
9077,Albert Street,2021-01-01,178
9077,Albert Street,2021-01-02,297
9077,Albert Street,2021-01-03,190
9077,Albert Street,2021-01-04,252
9077,Albert Street,2021-01-05,319
9077,Albert Street,2021-01-06,496
9077,Albert Street,2021-01-07,597
9077,Albert Street,2021-01-08,580
9077,Albert Street,2021-01-09,419
9077,Albert Street,2021-01-10,322
9077,Albert Street,2021-01-11,478
9077,Albert Street,2021-01-12,779
9077,Albert Street,2021-01-13,749
9077,Albert Street,2021-01-14,570
9077,Albert Street,2021-01-15,471
9077,Albert Street,2021-01-16,389
9077,Albert Street,2021-01-17,400
9077,Albert Street,2021-01-18,561
9077,Albert Street,2021-01-19,584
9077,Albert Street,2021-01-20,932
9077,Albert Street,2021-01-21,495
9077,Albert Street,2021-01-22,652
9077,Albert Street,2021-01-23,449
9077,Albert Street,2021-01-24,264
9077,Albert Street,2021-01-25,427
9077,Albert Street,2021-01-26,299
9077,Albert Street,2021-01-27,740
9077,Albert Street,2021-01-28,710
9077,Albert Street,2021-01-29,302
9077,Albert Street,2021-01-30,455
9077,Albert Street,2021-01-31,440
9077,Albert Street,2021-02-01,764
9077,Albert Street,2021-02-02,898
9077,Albert Street,2021-02-03,1047
9077,Albert Street,2021-02-04,879
9077,Albert Street,2021-02-05,462
9077,Albert Street,2021-02-06,446
9077,Albert Street,2021-02-07,365
9077,Albert Street,2021-02-08,851
9077,Albert Street,2021-02-09,996
9077,Albert Street,2021-02-10,839
9077,Albert Street,2021-02-11,943
9077,Albert Street,2021-02-12,837
9077,Albert Street,2021-02-13,336
9077,Albert Street,2021-02-14,382
9077,Albert Street,2021-02-15,416
9077,Albert Street,2021-02-16,464
9077,Albert Street,2021-02-17,478
9077,Albert Street,2021-02-18,876
9077,Albert Street,2021-02-19,784
9077,Albert Street,2021-02-20,407
9077,Albert Street,2021-02-21,373
9077,Albert Street,2021-02-22,806
9077,Albert Street,2021-02-23,897
9077,Albert Street,2021-02-24,728
9077,Albert Street,2021-02-25,951
9077,Albert Street,2021-02-26,783
9077,Albert Street,2021-02-27,421
9077,Albert Street,2021-02-28,486
9077,Albert Street,2021-03-01,944
9077,Albert Street,2021-03-02,1063
9077,Albert Street,2021-03-03,1011
9077,Albert Street,2021-03-04,1036
9077,Albert Street,2021-03-05,828
9077,Albert Street,2021-03-06,400
9077,Albert Street,2021-03-07,357
9077,Albert Street,2021-03-08,211
9077,Albert Street,2021-03-09,840
9077,Albert Street,2021-03-10,1121
9077,Albert Street,2021-03-11,1109
9077,Albert Street,2021-03-12,1040
9077,Albert Street,2021-03-13,244
9077,Albert Street,2021-03-14,356
9077,Albert Street,2021-03-15,1060
9077,Albert Street,2021-03-16,1142
9077,Albert Street,2021-03-17,1175
9077,Albert Street,2021-03-18,1175
9077,Albert Street,2021-03-19,1037
9077,Albert Street,2021-03-20,529
9077,Albert Street,2021-03-21,156
9077,Albert Street,2021-03-22,785
9077,Albert Street,2021-03-23,724
9077,Albert Street,2021-03-24,772
9077,Albert Street,2021-03-25,968
9077,Albert Street,2021-03-26,966
9077,Albert Street,2021-03-27,338
9077,Albert Street,2021-03-28,409
9077,Albert Street,2021-03-29,765
9077,Albert Street,2021-03-30,1125
9077,Albert Street,2021-03-31,1136
